blood_bank_name,state,district,city,address,mobile,category,latitude,longitude
Red Cross Blood Bank,Andhra Pradesh,GUNTUR,Repalle,"Government Hospital Premises Repalle-522265 Guntur Dist,A.P",9177883353,Charity,16.017425,80.829475
Area Hospital (Repeated),Andhra Pradesh,GUNTUR,Tenali,"Blood Bank Medical Officer,  Blood Bank, Area Hospital, Tenali, Guntur District",9866686760,Government,16.239531,80.64934
Rudhira Voluntary Blood Bank,Andhra Pradesh,GUNTUR,Tenali,"D.No. 7-5-56, KRR Complex, 1st Floor, Opposite ASN college, Prakasam Road, Ganganammapeta, Tenali",9247155622,Private,16.243428,80.646397
Best Rotary Blood Bank,Andhra Pradesh,GUNTUR,Tenali,"Mahila Mandali Building, Sarojini Naidu Street, Kothapeta, Tenali",0984983332,Private,16.251179,80.64934
Area Hospital Blood Bank,Andhra Pradesh,KRISHNA,Gudivada,Gudivada,7799990904,Government,16.349045,81.049715
Dr. Pattabhi Red Cross Blood Bank,Andhra Pradesh,KRISHNA,Machilipatnam,"DM  HO Campus, Machilipatnam",9876543210,Charity,16.190546,81.136154
Government General Hospital (Repeated),Andhra Pradesh,KRISHNA,Vijayawada,"Government General Hospital, Ramavarapadu, Vijayawada - 520007",8662452244,Government,16.513339,80.618989
Government District Headquarters Hospital machilipatnam blood bank,Andhra Pradesh,KRISHNA,Vijayawada,Machilipatnam,9876543210,Government,16.176867,81.138647
Rotary Red Cross Blood Bank,Andhra Pradesh,KRISHNA,Vijayawada,"H.No 26-5-5, G.S Raju Street, Gandhinagar, Vijayawada - 520003. Krishna District",9848124977,Charity,16.506174,80.648015
Vijaya Sri Blood Bank,Andhra Pradesh,KRISHNA,Vijayawada,"VijayaSri Palace,D. No. 29-19-27/4, Ground Floor, First Floor and Second Floor, Dornakal Road, Suryaraopet, Vijayawada",9392120187,Charity,16.51304,80.635644
Lions Blood Bank,Andhra Pradesh,KRISHNA,Vijayawada,"D. No. 29-19-85, 1st  2nd Floor,Old Janatha Hospital Building, Dornakal Road, Suryaraopet, Vijayawada",9876543210,Charity,16.506174,80.648015
University General Hospital Blood Bank,Andhra Pradesh,KRISHNA,Vijayawada,"Ring Road, Gunadala, Vijayawada",9876543210,Government,16.516111,80.670085
M/s. Chaitanya Blood Bank,Andhra Pradesh,KRISHNA,Vijayawada,"40-9/1-26, Vasavya Complex, Benz Circle, Vijayawada",9246289777,Charity,16.498839,80.655488
Dr. Pinnamaneni Siddhartha Insitiute of Medical Sciences  Research Foundation (Dr.P.SIMS  RF) Blood Bank,Andhra Pradesh,KRISHNA,Vijayawada,Chinnaoutapalli.,9876543210,Private,16.551655,80.832047
Bethesda Blood Bank,Andhra Pradesh,KRISHNA,Vijayawada,"29-10-2, Ground Floor, Narsimharao Street, Suryaraopet, Vijayawada",9876543210,Government,16.512971,80.632664
"Smt CH. Manju Vani Vara Prasad, Lions District 316D Blood Bank",Andhra Pradesh,KRISHNA,Vijayawada,"H.No.29-4-54K, Conan Dhanvoda Anantham Complex, Prakasam Road, Suryaraopet, Vijayawada",9849118077,Charity,16.510309,80.63251
Suraksha Voluntary Blood Bank,Andhra Pradesh,KRISHNA,Vijayawada,"29-10-8, Govinda Rajulu Naidu Street, Suryaraopet, Vijayawada",9394777899,Charity,16.51343,80.632861
"RCH -II Blood Bank, Area Hospital, Adoni",Andhra Pradesh,KURNOOL,Adoni,"Dr. H. Siva Reddy, Civil Surgeon RMO (Rtd),Medical Officer  IRCS, RCH-II, Blood Bank, Area Hospital, Adoni-518301",9440503302,Government,15.632223,77.272837
M/s. Indian Red Cross Society Blood Bank RCH 2,Andhra Pradesh,KURNOOL,Adoni,"First Floor, Government Area Hospital, Adoni, Kurnool",9440503302,Charity,15.632223,77.272837
M/s. Government General Hospital Blood Bank,Andhra Pradesh,KURNOOL,Kurnool,kurnool,9985676311,Government,15.820654,78.038088
M/s. Indian Red Cross Society Blood Bank,Andhra Pradesh,KURNOOL,Kurnool,"Opposite Ravi Theatre, D.M  H.O Compound, Beside Control Room, Kurnool",9490601960,Charity,15.816357,78.040317
M/s. R.R. Hospital Blood Bank,Andhra Pradesh,KURNOOL,Kurnool,"D.No.40-304-10, 2nd Floor, Bhagya Nagar, Kurnool",9966662331,Private,15.82872,78.035743
District Hospital Blood Bank,Andhra Pradesh,KURNOOL,Nandyal,"District Hospital, Noonepalli, Nandyal, Kurnool",9959912781,Government,15.469336,78.482935
Government Hospital Blood Bank,Andhra Pradesh,KURNOOL,Srisailam Project,"Blood Bank Medical Officer,  Blood Bank, Government Hospital, Srisailam Project, Kurnool District",9876543210,Government,16.0833,78.8667
M/s. Area Hospital Blood Bank,Andhra Pradesh,PRAKASAM,Chirala,"Ground Floor, Room No.10, Area Hospital, Chirala, Prakasam",9441743892,Government,15.825971,80.36127
Indian Red Cross Society Blood bank,Andhra Pradesh,PRAKASAM,Markapur,"A.P.V.P. Area Hospital, Cumbum Road, Markapur",9440211131,Charity,15.736154,79.269125
M/s. RIMS General Hospital Blood Bank,Andhra Pradesh,PRAKASAM,Ongole,"C/o. RIMS General Hospital , D.No. 8-5-2/A, Opposite Bapuji Kalamandir, Bhagya Nagar, 5th Lane, Ongole",9000991884,Government,15.487882,80.047144
Indian Red Cross Society Blood Bank,Andhra Pradesh,PRAKASAM,Ongole,"IRCS Blood Bank, Railway Station Road, SanthaPeta, Ongole, Prakasam",9247264635,Charity,15.505723,80.049922
M/s. Life Line Volunytary Blood Bank,Andhra Pradesh,PRAKASAM,Ongole,"D. No.37-1-169/54, 2nd Floor, Sundharaiah Bhavan Raod, Ongole.",0924702311,Charity,15.481367,80.05908
M/s. Belief Blood Bank,Andhra Pradesh,PRAKASAM,Ongole,"3rd Floor, Sai Complex, Addanki Bus Stop, Ongole",9849499988,Charity,15.481367,80.05908
Government Hospital Blood Bank,Andhra Pradesh,SPSR NELLORE,Gudur,"Area Hospital Compound, Gudur",8008553616,Government,14.146545,79.848756
M/s. Kanamarlapudi Koteswara Rao Indian Red Cross Society Blood Bank,Andhra Pradesh,SPSR NELLORE,Kavali,"Survey No.1083/3, R.D. Office Compound, Kavali",9849850498,Charity,14.913181,79.99298
Indian Red Cross Society Blood Bank,Andhra Pradesh,SPSR NELLORE,Nellore,"Indian Red Cross Society (IRCS) Road, Madras Bus stand, Nellore",9347033100,Charity,14.426777,79.959008
District Headquarters Hospital (Repeated),Andhra Pradesh,SPSR NELLORE,Nellore,"District Headquarters Hospital, Dargamitta, Nellore",9247708860,Government,14.435424,79.966831
Narayana Medical College  Hospital Blood Bank,Andhra Pradesh,SPSR NELLORE,Nellore,"Narayana Hospital compound, Nellore",9876543210,Private,14.442599,79.986456
Gems Hospital Blood Bank,Andhra Pradesh,SRIKAKULAM,Ragolu,"Gems Hospital Premises, Ragolu, Srikakulam",9391489207,Private,18.289087,83.9056
GMR Varalakshmi Care Hospital Blood Bank,Andhra Pradesh,SRIKAKULAM,Rajam,"GMR Varalakshmi Care Hospital Premises, GMR Nagar, Rajam",9876543210,Private,18.461272,83.658352
Rajiv Gandhi Institute of Medical Sciences (RIMS) General Hospital Blood Bank,Andhra Pradesh,SRIKAKULAM,Srikakulam,"RIMS Government Hospital Premises, Balaga, Srikakulam",9701501018,Government,18.312884,83.887717
Indian Red Cross Society (IRCS) Blood Bank,Andhra Pradesh,SRIKAKULAM,Srikakulam,"D.No. 8-5-2/A, Opposite to Bapuji Kalamandir, Srikakulam",9876543210,Charity,18.296359,83.894549
District Hospital,Andhra Pradesh,VISAKHAPATNAM,Anakapalli,AH- ANAKAPALLI,9848325561,Government,17.689592,82.997733
M/s. NTR Area Hospital Blood Bank,Andhra Pradesh,VISAKHAPATNAM,Anakapalli,"APVVP Hospital Premises, Anakapalli, Visakhapatnam",9491817042,Government,17.686427,83.218576
M/s. Visakha Steel General Hospital Blood Bank,Andhra Pradesh,VISAKHAPATNAM,Gajuwaka,"Ukkunagaram, Steel Plant, Visakhapatnam",0770291797,Government,17.662908,83.144127
M/s. Anil Neerukonda Hospital  Blood Bank,Andhra Pradesh,VISAKHAPATNAM,Sangivalasa,"Sangivalasa, Bheemunipatnam (M), Visakhapatnam District",9876543210,Private,17.97256,83.432338
M/s. King George Hospital (KGH) Blood Bank,Andhra Pradesh,VISAKHAPATNAM,Visakhapatnam,"King George Hospital, Maharanipeta, Visakhapatnam",8912563345,Government,17.70667,83.303737
M/s. Government Victoria Hospital Blood Bank,Andhra Pradesh,VISAKHAPATNAM,Visakhapatnam,"Women  Children Hospital Blood Bank, Visakhapatnam",9059522294,Government,17.686816,83.218482
M/s. Indian Red Cross Society Blood Bank,Andhra Pradesh,VISAKHAPATNAM,Visakhapatnam,"D.No14-35-4, Behind Collecorate, Z..P. Junction, Maharanipeta, Visakhapatnam",9848027203,Charity,17.686816,83.218482
M/s. Rotary Blood Bank (Vishaka Port City Rotary Charitable Trust),Andhra Pradesh,VISAKHAPATNAM,Visakhapatnam,"D.No 13-26-2/54, 3rd Floor, Apuroopa Arcade, Near Jagadamba Junction, Maharanipeta, Vishakapatnam",9848193503,Charity,17.686816,83.218482
M/s. Apollo Hospital Heart  Kidney Centre Blood Bank,Andhra Pradesh,VISAKHAPATNAM,Visakhapatnam,"D.No.10-50-80, 1st Floor, Apollo Hospital, Waltair Main Road, Visakhapatnam.",9876543210,Private,17.717084,83.309208
M/s. Seven Hills Hospital Blood Bank,Andhra Pradesh,VISAKHAPATNAM,Visakhapatnam,"D.No.11-4-4/A, 5th Floor, Rock Dale Layout, Waltair MainRoad, Visakhapatnam",9848199322,Private,17.71737,83.309268
A. S. Raja Voluntary Blood Bank,Andhra Pradesh,VISAKHAPATNAM,Visakhapatnam,"D.No. 10-50-11/5, Ground Floor, 1st, 2nd and 3rd Floor, Beside CARE Hospital, Waltair Main Road, Ramnagar, Visakhapatnam",9393963436,Charity,17.720274,83.313048
M/s. Lions Club of Visakhapatnam Blod Bank Trust,Andhra Pradesh,VISAKHAPATNAM,Visakhapatnam,"D. No.10-54-7, Lions Community Hall, Ram Nagar, Visakhapatnam",9876543210,Charity,17.719063,83.311286
M/s. N.T.R. Memorial Trust Blood Bank,Andhra Pradesh,VISAKHAPATNAM,Visakhapatnam,"P. No. 15B-3-1, Block No. 56, Waltair Main Road, Ramnagar, Visakhapatnam",0903200561,Charity,17.691575,83.238891
M/s. Gitam Institute of Medical Sciences and Research Blood Bank,Andhra Pradesh,VISAKHAPATNAM,Visakhapatnam,"D.No.5-168, Ward No.6, Gitam University, Rushikonda, Visakhapatnam",9985556050,Private,17.784938,83.374975
M/s. Gayatri Vidya Parishad Institute of Health Care and Medical Technology,Andhra Pradesh,VISAKHAPATNAM,Visakhapatnam,"D. No.6-25, Maridi Valley, Marikavalasa, Madhurawada, Vishakapatnam",7675808026,Private,17.689433,83.211615
"Indian Red Cross Society Blood Bank, RCH-II",Andhra Pradesh,VIZIANAGARAM,Parvathipuram,"Area Hospital Premises, First Floor, Belagam, Parvathipuram",9908842182,Charity,18.781716,83.426752
District Headquarters Hospital Blood Bank,Andhra Pradesh,VIZIANAGARAM,Vizianagaram,"District Headquarters Hospital, Cantonment, Vizianagaram",9440070099,Government,18.110022,83.388433
Indian Red Cross Society Blood Bank,Andhra Pradesh,VIZIANAGARAM,Vizianagaram,"D.No. 71/82, Near Ganesh Temple, Cantonment,  Vizianagaram",8142578999,Charity,18.106658,83.395551
ASN Raju Charitable Trust Blood Bank,Andhra Pradesh,WEST GODAVARI,Bhimavaram,"D.No. 24-1-1, R.K. Plaza (Sarovar complex), J. P. Raod, Bhimavaram",9666001234,Charity,16.54391,81.516237
Uddaraju Anandaraju Foundation Blood Bank,Andhra Pradesh,WEST GODAVARI,Bhimavaram,"D.No. 27-8-21/2, Sivaraopet, Bhimavaram",8897888108,Charity,16.543064,81.515731
M/s. Government Headquarters Hospital Blood Bank,Andhra Pradesh,WEST GODAVARI,Eluru,"Government Headquarters Hospital, Ground Floor, R.R. Peta, Eluru, West Godavari",9876543210,Government,17.006153,81.782132
M/s. Indian Red Cross Society Component Blood Bank,Andhra Pradesh,WEST GODAVARI,Eluru,"General Hospital Premises, Eluru, West Godavai",9848177142,Charity,16.711919,81.094839
M/s. Alluri Sitrarama Raju Academy of Medical Sciences Blood Bank,Andhra Pradesh,WEST GODAVARI,Eluru,"Ground Floor, Hospital Block, NH 5 Eluru, West Godavari",0738262628,Charity,16.737395,81.146494
M/s. Good Samaritan Blood Bank,Andhra Pradesh,WEST GODAVARI,Eluru,"D.No.13-1, Good Samaritan Cancer and General Hospital, Vangayagudem, Eluru, West Godavari",9440470715,Private,18.179738,83.39551
M/s. Indian Red Cross Society Blood Bank jangareddi gudem,Andhra Pradesh,WEST GODAVARI,Jangareddygudem,"Government Hospital Premises, Jangareddygudem",9493009404,Government,17.125307,81.273907
Indian Red Cross Society Blood Bank narasapuram,Andhra Pradesh,WEST GODAVARI,Narasapuram,"C/o. Community Healthcare Center, Narsapuram",8179704000,Charity,16.45196,81.680205
Palakol Voluntary Blood Bank,Andhra Pradesh,WEST GODAVARI,Palakol,"D.No. 47-1-12/2C, 1st floor, Beside Chamber of Commerce Building, Srinivasa Deluxe, Palakol",9885144415,Charity,16.517455,81.725342
Indian Red Cross Society Blood Bank Tanuku  (Repeated),Andhra Pradesh,WEST GODAVARI,Tanuku,"IRCS Sub Branch Doorno 27-14-9, Dodipatlavari Street, Tanuku, West Godavari District",9876543210,Government,16.757173,81.679963
Dr. Mulla Pudi Harischandra Prasad Red Cross Blood Bank,Andhra Pradesh,WEST GODAVARI,Tanuku,"D.No.27-14-9, Doddipatla Vari Street, Tanuku.",9959312349,Charity,16.757173,81.679963
Sri Buddala Narasimhamurty Voluntary Blood Bank,Andhra Pradesh,WEST GODAVARI,Tanuku,"D.No.34-4/5, Ground Floor, Supriya Towers, Tanuku",9133111131,Charity,16.414033,80.647085
Rajiv Gandhi Institute of Medical Sciences Blood Bank,Andhra Pradesh,Y.S.R. (Kadapa),Kadapa,"Blood Bank Medical Officer, O.P. Block Ground Floor, Blood Bank, RIMS General Hospital,Puttlampalli, Kadapa ( RIMS, Kadapa).",0950257774,Government,15.133392,78.514102
"Indian Red Cross Society, Blood Bank",Andhra Pradesh,Y.S.R. (Kadapa),KADAPA,"D.No. 10-971, Opposite to Mattipedda Puli, Trunk Road, Kadapa",9704798189,Charity,14.467354,78.824134
Boga Parvathamma Blood Bank,Andhra Pradesh,Y.S.R. (Kadapa),Kadapa,"A unit of boga parvathamma memorial blood donation service organization,d.no7-137, second floor, jayanagar colony , Kadapa",9440269795,Private,14.467354,78.824134
District Hospital Blood Bank,Andhra Pradesh,Y.S.R. (Kadapa),PRODDATUR,"APVVP, Gavini Circle, Yerraguntla Bypass Road, Proddatur",8106104334,Government,14.741621,78.550959
A.P. Vaidyavidhanaparishad Area Hospital - IRCS Blood Bank,Andhra Pradesh,Y.S.R. (Kadapa),Pulivendula,"Ground Floor, Muddanuru Road, Pulivendula",9440978262,Private,14.422232,78.226339
Changlang District Hospital Blood Bank,Arunachal Pradesh,CHANGLANG,Changlang,"District Hospital, Changlang District, Arunachal Pradesh",9436068812,Government,27.139258,95.738757
Pasighat General Hospital Blood Bank,Arunachal Pradesh,EAST SIANG,Pasighat,"General Hospital, Pasighat,  Jt. DHS (TR), High Region, Near NH 52.",9436225890,Government,28.071544,95.325113
Lohit District Hospital Blood Bank,Arunachal Pradesh,LOHIT,Tezu,"District Hospital Tezu, Lohit District, Arunachal Pradesh",9436633161,Government,27.559574,96.101627
General Hospital Ziro  Blood Bank,Arunachal Pradesh,LOWER SUBANSIRI,Ziro,"General Hospital Ziro, Lower Subansiri",0841500044,Government,27.53875,93.822176
Ramakrishna Mission Hospital Blood bank,Arunachal Pradesh,PAPUM PARE,Itanagar,"Ramakrishna Mission Hospital P.O. Ramakrishna MissionItanagar,",9876543210,Charity,27.086178,93.609065
Arunachal State Hospital Blood Bank,Arunachal Pradesh,PAPUM PARE,Naharlagun,"Arunachal State Hospital / General Hospital, NH 52A, Lumer Dai Road",0873198118,Government,27.103121,93.691936
Tawang District Hospital Blood Bank,Arunachal Pradesh,TAWANG,Tawang,"District Hospital, Tawang District , Arunachal Pradesh",9402222155,Government,27.588943,91.864896
Upper Siang District Hospital Blood Bank,Arunachal Pradesh,UPPER SIANG,Yingkiong,"District Hospital, Yingkiong, Upper Siang District, Arunachal Pradesh.",9436226409,Government,28.641662,95.025348
Upper Subansiri District Hospital Blood Bank,Arunachal Pradesh,UPPER SUBANSIRI,Daporijo,"District Hospital Daporijo, Upper Subansiri District, Arunachal Pradesh",0879405082,Government,27.981329,94.217428
West Siang District Hospital Blood Bank,Arunachal Pradesh,WEST SIANG,Aalo,"District Hospital, Medical Complex, Aalo",9436056268,Government,28.169282,94.801031
Fakhruddin Ali Ahmed (FAA) Medical College Hospital Blood Bank,Assam,BARPETA,Barpeta,"Ground Floor  Fakhruddin Ali Ahmed Medical College, Jotigaon, Jania Road.Opposite to Chaulkhowa River",0943504286,Government,26.323792,90.986661
Bongaigaon Civil Hospital Blood Bank,Assam,BONGAIGAON,Bongaigaon,"Main Road, Mayapuri,Bongaigaon",9435021056,Government,26.456671,90.560234
Lower Assam Hospital Blood Bank,Assam,BONGAIGAON,Bongaigaon,"Chapaguri Road, North Bongaigaon",9435720622,Private,26.492861,90.551479
Silchar Medical College and Hospital Blood Bank,Assam,CACHAR,Silchar,"Krishnapur Medical Road, Ghungoor, Silchar",9435076209,Government,24.775578,92.794251
Indian Red Cross Children Hospital Blood Bank,Assam,CACHAR,Silchar,"Indian Red Cross Children Hospital, Tarapur, Silchar",9401854401,Charity,24.826127,92.796159
Barak Blood Bank and Clinical Research Centre,Assam,CACHAR,Silchar,"Central Rd, Tarapur, Kanakpur Part-II",9435071314,Private,24.808015,92.795242
Bongaigaon Refinery (BRPL) Hospital Blood Bank,Assam,CHIRANG,Dhaligaon,"BRPL Refinery, iocl/bgr township",9435121190,Government,26.510577,90.522683
Mangaldoi Civil Hospital Blood Bank,Assam,DARRANG,Mangaldoi,"Mangaldoi Civil Hospital, NH 52, Mangaldoi, Darrang",9854035697,Government,26.437551,92.036395
Dhemaji Civil Hospital Blood Bank,Assam,DHEMAJI,Dhemaji,"Ward No9, Lachit Nagar, Natun Nagar Rd",9678100660,Government,27.458026,94.574533
Dhubri Civil Hospital Blood Bank,Assam,DHUBRI,Dhubri,"Jhagrarpar, Dhubri",9435028860,Government,26.034365,89.963554
Assam Medical College and Hospital Blood Bank,Assam,DIBRUGARH,Dibrugarh,"Barbari, Dibrugarh",9435033505,Government,27.486985,94.944179
Dr. Damani39s Nursing Home Blood Bank,Assam,DIBRUGARH,Dibrugarh,"L.G.B. Avenue, Near Circuit House",9435031702,Private,27.4898858,94.9229632
Aditya Diagnostic Hospital Blood Bank,Assam,DIBRUGARH,Dibrugarh,"Bordoloi Avenue, Dibrugarh",9435030421,Private,27.491383,94.931116
Oil India Limited Hospital Blood Bank,Assam,DIBRUGARH,Duliajan,"Oil Hospital, Duliajan",9954498584,Government,27.359192,95.323648
Haflong Civil Hospital Blood Bank,Assam,DIMA HASAO,Haflong,"NH 54, Songpijaang, Haflong",9435077512,Government,25.165653,93.024831
Goalpara Civil Hospital Blood Bank,Assam,GOALPARA,Goalpara,"Agia Road, Goalpara",9435023847,Government,26.142267,90.610584
Solace Hospital and Research centre Pvt.Ltd Blood bank,Assam,GOALPARA,Goalpara,"BOC Agia Road Road, P.O. BaladmariOpposite to Assam Oil Petrol Pump",9435323781,Private,26.164643,90.624877
Kushal Konwar (KK) Civil Hospital Blood Bank,Assam,GOLAGHAT,Golaghai town,"Abita Building, 1st floor,  Golaghat Near stataion Rd",9435151875,Government,26.510171,93.964569
Vivekananda Kendra NRL Hospital Blood Bank,Assam,GOLAGHAT,Golaghat,"NRL Township, Numaligarh Refinery Complex",9435478406,Private,26.591371,93.749516
