name,address,count,phone,email,facility,hospitalType,hospitalCode,latitude,longitude,campSource,stockSource,distId,stateCode,type,dist
Bbmp-Hosahalli  (Bsu),"Bangalore, , Bangalore, Dist. Bangalore Urban",119,,,,Govt.,281058,12.90583,77.62759,0,2,572,29,BSU,
"Bbmp-Jjr, Magadi Road (Bsu)","Bangalore, , Bangalore, Dist. Bangalore Urban",119,,,,Govt.,281052,14.27295,74.89822,0,2,572,29,BSU,
Bbmp-Srirampura  (Bsu),"Bangalore, , Bangalore, Dist. Bangalore Urban",119,,,,Govt.,281057,12.98952,77.56782,0,2,572,29,BSU,
Bgs Global Institute Of Medical Science And Hospital Blood Centre,"Upperground  floor #67,Uttrahalli main road,Kengeri,Bangalore, Kengeri, Dist. Bangalore Urban",119,9986829482,bgsgimsbloodcentre@gmail.com,,Charitable/Vol,283304,12.9943548,77.376235,2,2,572,29,Blood Bank,
Blood Storage Unit Fortis Hospital Pvt Ltd,"No-14, Cunningham Rd, Vasanth Nagar, Bengaluru,, Bangalore, Dist. Bangalore Urban",119,"9845438200,8041994515",care.bng@fortishospital.com,,Private,15148,12.9716,77.59456,0,2,572,29,BSU,
"Bowring And Lady Curzon Hospitals Blood Centre, Bangalore","Bowring and Lady Curzon Hospitals, Shivaji Nagar, Next to Shivaji Nagar Bus stop, Bangalore, Dist. Bangalore Urban",119,"8025594799, 9449621169,080-25327714",blchbloodbank42@gmail.com,,Govt.,15088,12.98219,77.60406,2,2,572,29,Blood Bank,
"B. Shivaji Rao'S Blood Centre, (A Unit Of Sri Maruthi Charitable And Educational Trust ( R)","No.26, 3rd floor, SGRR Complex, 1st cross, Rajaram Mohan Roy, Bangalore, Dist. Bangalore Urban",119,"080-22224044, 9343773931",,,Charitable/Vol,15185,12.95522,77.64854,2,2,572,29,Blood Bank,
Bsk Jeevashraya Blood Centre,"6,3rd floor, above ICICI Bank, 3rd cross, Opp DG Hospital MKP Road, Padmanabhanagar, Bangalore, Bangalore, Dist. Bangalore Urban",119,"9886550012, 8792541222, 080-22273377",bskjeevashrayabloodcenter@gmail.com,,Private,284222,12.9716,77.5946,2,2,572,29,Blood Bank,
Cauvery Charitable Blood Centre Bangalore ,"3rd Floor, Above Yamaha Service Showroom, Bommanahalli, Hosur Main Road, Bangalore -560068.   , Bommanahalli, Dist. Bangalore Urban",119,6360682216,cauverycharitablebloodcentre91@gmail.com,,Charitable/Vol,284737,12.90811,77.324,2,2,572,29,Blood Bank,
"Command Hospital Blood Centre,Bangalore South","Air Force, Old Air Force Road, Bangalore, Dist. Bangalore Urban",119,"9663865587,8025369030",bloodbankchaf2016@yahoo.com,,Govt.,15030,12.96332,77.62882,2,2,572,29,Blood Bank,
Cytecare Blood Centre,"3/1 A4, 3rd floor, Cytecare Cancer Hospital, Yelahanka, Bangalore, Dist. Bangalore Urban",119,9513704048,bloodbank@cytecare.in,,Private,283377,13.0,77.583333,2,2,572,29,Blood Bank,
Dr.B.R.Ambedkar Medical College Hospital Blood Centre,"Kadugondanahalli, Bengaluru, shampura main road,, Bangalore, Dist. Bangalore Urban",119,"9886228583,9964114140",bramchbbb@gmail.com,,Private,15060,13.025275,77.614217,2,2,572,29,Blood Bank,
Dr. Rajkumar (Appaji) Blood Centre,"No.18, Krishi Bhavan, 2nd floor, Hudson Circle, Bangalore, Dist. Bangalore Urban",119,"9141334726,8022108108",drrajkumarappajibloodbank@gmail.com,,Private,15177,12.9716,77.59456,2,2,572,29,Blood Bank,
E-City Blood Centre,"AMR Arcade,4th Floor, 93-3B,Konappana Agrahara, Hosur Main Road,Electronic city post, Bengaluru, Dist. Bangalore Urban",119,9036593993,ecitybloodcentre@gmail.com,,Charitable/Vol,285121,12.8544849,77.66245,2,2,572,29,Blood Bank,
"Esic Model Hospital Blood Centre, Bangalore","ESIC Model Hospital Medical College PGIMSR, II Block, Rajajinagar, Bangalore, Dist. Bangalore Urban",119,8023013808,bloodbankesic@gmail.com,,Govt.,15036,13.00701,77.55364,2,2,572,29,Blood Bank,
Esi-Indranagar  (Bsu),"Bangalore, , Bangalore, Dist. Bangalore Urban",119,,,,Govt.,281066,12.97116,77.6369,0,2,572,29,BSU,
Fortis Hospital Pvt. Ltd.,"154/9, Bannerghatta Road, Opposite IIM-B, Bengaluru, Bangalore, Dist. Bangalore Urban",119,8123242142,"blood.bank1@fortishealthcare,com",,Private,15146,12.87288,77.58311,2,2,572,29,Blood Bank,
General Hospital Blood Storage Centre Jayanagar,"15 LABORATORY , GENERAL HOSPITAL JAYANAGAR,4TH T BLOCK THILAKNAGAR, BANGALORE URBEN, Jayanagar, Dist. Bangalore Urban",119,9886404132,ghjaao1985tblk@gmail.com,,Govt.,281162,28.61371,77.2007,0,2,572,29,BSU,
Ghsis Gosha Blood Centre,"HGHSIS GOSHA HOSPITAL SHIVAJINAGAR BANGALORE , Bangalore, Dist. Bangalore Urban",119,9480314287,ghsisgoshabb@gmail.com,,Govt.,15164,13.00095,77.61577,2,2,572,29,Blood Bank,
Grace Blood Center,"Grace blood Center. 36/1 Frist floor Ganganagar Bangalore, Bangalore, Dist. Bangalore Urban",119,9448087430,gbb.6007@gmail.com,,Charitable/Vol,283854,13.0,77.583333,2,2,572,29,Blood Bank,
Grace Blood Centre And Laboratory,"2/1,1st Floor,10th Main,6th Cross, Vasanthappa Block, CBI Road, KGH Layout, Ganga Nagar, Bangalore, Dist. Bangalore Urban",119,"9740330720,8023431233",bngu.grace.bb@gmail.com,,Private,15067,12.9716,77.59456,2,2,572,29,Blood Bank,
Hal Hospital Blood Centre,"HAL Hospital, Vimanapura, , Bangalore, Dist. Bangalore Urban",119,9972399007,shilpan28@gmail.com,,Govt.,15027,12.96269,77.66572,2,2,572,29,Blood Bank,
Health Care Global Enterprises Ltd,"No.8,P.Kalinga Rao Road,Sampangiram Nagar,Bengaluru, Bangalore, Dist. Bangalore Urban",119,0806156612,bloodbank@hcgel.com,,Private,280357,12.956093,77.592145,2,2,572,29,Blood Bank,
Hhs And Hms ( Ra) Blood Centre,"3,FF 22,1st Floor,Hazrath Hameed Shah Complex,cubbonpet main road, , Bangalore, Dist. Bangalore Urban",119,9845854991,hhshmsbloodcentre@gmail.com,,Charitable/Vol,283926,13.0,77.583333,2,2,572,29,Blood Bank,
Hosmat Blood Centre,"No 45 ,Magrath road ,of Richmond Road, Ashok Nagar ,, Bengaluru, Dist. Bangalore Urban",119,"8050780930, 8867629803, 8025593796",priya.nitya@rediffmail.com,,Private,15062,12.966,77.606,2,2,572,29,Blood Bank,
I.G.I.Of C. H. Bangalore,"-, BANGALORE , Dist. Bangalore Urban",119,0,,,Govt.,281022,12.976794,77.590082,2,2,572,29,Blood Bank,
"Indian Red Cross Society, Karnataka Red Cross Blood Centre Bengaluru","No-26 Red Cross Bhavan, 326, Ist Floor, Race Course Road, Bengaluru, Dist. Bangalore Urban",119,9035068435,ircskar@gmail.com,,Red Cross ,15112,12.98419,77.57864,2,2,572,29,Blood Bank,
Jayanagar Volunatry Blood Centre,"Vajra s, 1st floor,1445 n 1482 28th main road,south A n B cross road jayanagar 9th block bangalore, Bangalore, Dist. Bangalore Urban",119,9342171911,jayanagarbloodbank24hrs@gmail.com,,Charitable/Vol,15108,12.29581,76.63938,2,2,572,29,Blood Bank,
Jeevaraksha Voluntary Blood Centre,"NO,30/1 Leemans complex,3rd floor,, Next to just dial,cunningham road, Bangalore, Dist. Bangalore Urban",119,9900777791,Jeevaraksha.bloodbank@gmail.com,,Private,280372,12.9849,77.5965,2,2,572,29,Blood Bank,
Jeeva Voluntary Blood Centre,"No.83 and 84,sharaff Basappa Commercial Complex,1st cross,2nd main,opp.Minto Eye Hospital,New Taragupet, Bengaluru, Bangalore, Dist. Bangalore Urban",119,9845801539,jvbb05@gmail.com,,Charitable/Vol,283852,13.0,77.583333,2,2,572,29,Blood Bank,
Karnaataka Blood Bank,"M/s. Karnaataka Blood Bank, (Run by Arogyavahini Society), No.2/24, Eastern Wing, 2nd Floor, Raja Building, N.R. Road, Bengaluru, Dist. Bangalore Urban",119,9448113988,karnaatakabloodbank19@gmail.com,,Private,283817,13.0,77.583333,2,2,572,29,Blood Bank,
"K C General Hospital Blood Centre, Bangalore","K C General hospital, Mallashwaram, Bangalore, Bangalore, Dist. Bangalore Urban",119,"8023567673, 8722604100",bloodbankkcg@gmail.com,,Govt.,15029,12.99602,77.56937,2,2,572,29,Blood Bank,
"Kempegowda Medical Service Trust, Millenium Blood Centre","No.1082/9, Sreenivasa Prasanna Complex, Triveni Road, Yeshwa, Bangalore, Dist. Bangalore Urban",119,"9972111552,8023571001",kempegowdamst@gmail.com,,Private,15090,13.00021,77.56519,2,2,572,29,Blood Bank,
"Kidwai Memorial Institute Of Oncology Blood Centre, Bangalore","Kidwai Memorial Institute of Oncology, M. H Marigowda Road, Near Dairy Circle, Bangalore, Dist. Bangalore Urban",119,"08026094082, 9986990040",bngu.kidwai.bb@gmail.com,,Govt.,15016,12.93739,77.59801,2,2,572,29,Blood Bank,
Kims Hospital,"KIMS HOSPITAL AND RESEARCH CENTRE, K.R.ROAD, V.V.PURAM, BANGALURU-560004, KIMS HOSPITAL AND RESEARCH CENTRE, K.R.ROAD, V.V.PURAM, BANGALURU-560004, Bangaluru, Dist. Bangalore Urban",119,9731899880,kimshbloodbank12@gmail.com,,Private,15005,12.95653,77.57478,2,2,572,29,Blood Bank,
KIMS HOSPITAL BLOOD CENTRE,"KIMS HOSPITALS A unit of KIMS Hospital Bengaluru Private Limited Survey, No.36/5,Outer RingRoad, Doddanekkundi,Mahadevapura, K.R. Puram Hobli, BANGALORE, Dist. Bangalore Urban",119,9611811776,BLOODBANK.MDP@KIMSHOSPITALS.COM,,Private,285232,12.9209439,77.5491999,2,2,572,29,Blood Bank,
K.R.Puram (Bsu),"Bangalore, , Dist. Bangalore Urban",119,,,,Govt.,281158,13.00839,77.69601,0,2,572,29,BSU,
Life Care Voluntary Blood Centre,"No.126, 7th Block, Jayanagar, Opp.Jayanagar, Police Station, Bangalore, Dist. Bangalore Urban",119,8123533773,lifecarevoluntarybloodbank@gmail.com,,Private,15160,12.92837,77.581654,2,2,572,29,Blood Bank,
Lions Blood Bank,"Bhagwan Mahaveer Jain Hospital, Millers Road, Vasantha Nagar, Bangalore, Dist. Bangalore Urban",119,9845315670,lionsbloodbank1983@gmail.com,,Private,15076,12.9716,77.59456,2,2,572,29,Blood Bank,
Lions Blood Center Wilson Garden,"#02, 3rd floor, sriven rag landmark, hosur main road Wilson garden, , Vijayanagar, Bengaluru, Dist. Bangalore Urban",119,6366755512,lionsbloodbankwlgn@gmail.com,,Charitable/Vol,283147,12.975,77.536,2,2,572,29,Blood Bank,
Malathi Manipal Hospital Blood Storage Unit,"9th Block Jayanagar, Bengalore, Dist. Bangalore Urban",119,9902698972,mmh.labmedicine@manipalhospitals.com,,Private,283150,12.97748,77.48236,2,2,572,29,Blood Bank,
Malleshwaram Voluntary Blood Bank,"3rd floor, Bearing no. T-002, UP Royal complex, 494, 4th cross, Sampige road, Malleshwaram, Malleshwaram, Dist. Bangalore Urban",119,6906364411,malleshwarammvbb@gmail.com,,Private,283884,13.0,77.583333,2,2,572,29,Blood Bank,
Mallya Hospital No.2,"No.2 ,Vittal Mallya Road, Bengaluru, Bangalore, Dist. Bangalore Urban",119,"9845043017,8022277979",ss_964@rediffmail.com,,Private,15019,12.9716,77.59456,2,2,572,29,Blood Bank,
Manipal Hospital Blood Centre,"SY.NO. 10P AND 12P, RAMAGONDANAHALLI,,VARTHUR HOBLI,Bangalore, Bengalore Urban, Dist. Bangalore Urban",119,8105437023,bloodbank.sup@manipalhospitals.com,,Private,280389,12.95825,77.74538,2,2,572,29,Blood Bank,
 Manipal Hospital Blood Storage Center Bsu,"Manipal Hospital ,71/1, Millers Road, Opp. St Anne's College, bangalore, Bengaluru, Dist. Bangalore Urban",119,9886069111,prathima.km@vikramhospital.com,,Private,15086,12.29581,76.63938,2,2,572,29,Blood Bank,
Manipal Hospital Blood Storage Centre Bsu Bashettihalli Village,"Survey No 22/1B, 55/2, Bashettihalli Village, Doddaballapura, Bangalore Rural, Dist. Bangalore Urban",119,9986063266,ashok.hm@manipalhospitals.com,,Private,284660,13.26091,77.54984,2,2,572,29,BSU,
Manipal Hospital Blood Storage Centre Hebbal Bangalore,"Manipal Hospital, Hebbal Kirloskar business park,Bellary road Bangalore , Karnataka, Bangalore, Dist. Bangalore Urban",119,9742851635,kalai.a@manipalhospitals.com,,Private,284658,0.0,0.0,2,2,572,29,BSU,
Manipal Hospital Sarjapur Blood Centre,"Ward No, Survey no 45/2 ward Police Station, 150, Marathahalli - Sarjapur Rd, opposite Iblur, Amblipura, PWD Quarters, Ambali Pura, Bellandur, Bengaluru, 560102, bangalore, Dist. Bangalore Urban",119,9972159776,bloodbanksup.mhsr@manipalhospitals.com,,Private,283174,22.351115,78.667743,2,2,572,29,Blood Bank,
Manipal Hospital Transfusion Services,"98,Rustom Bagh,HAL Airport Road, Bangalore, Bangalore, Dist. Bangalore Urban",119,"9845375432,08025024224",Shivaram@manipalhospitals.com,,Private,15153,12.9589,77.6492,2,2,572,29,Blood Bank,
Manipal Hospital Whitefield Transfusion Services,"143, 212-2015, EPIP Industrial Area, Off Hoodi Village, KR Puram Hobli, Bangalore, Dist. Bangalore Urban",119,18001025555,bloodbank.mhw@manipalhospitals.com,,Private,283334,12.97138,77.75013,2,2,572,29,Blood Bank,
Manipal Hospital Yeshwanthpur Blood Centre,"24/1, Brigade gateway, Beside Metro, Malleswaram West,, Yeshwanthpur, Bangalore , Bangalore, Dist. Bangalore Urban",119,9535871458,bloodbank.mhypr@manipalhospitals.com,,Private,15142,13.014176,77.555949,2,2,572,29,Blood Bank,
Marathahalli Voluntary Blood Bank,"9/10 OUTER RING ROAD, NEXT TO KALAMANDIR,ABOVE PRASIDDI SILKS, MARATHAHALLI,BENGALURU, Bangalore, Dist. Bangalore Urban",119,"9916749060, 9880412362",marathahallivbb@gmail.com,,Private,283490,12.9569,77.7011,2,2,572,29,Blood Bank,
Mediscope Blood Centre,"No.11, Pillanna Garden, 3rd stage, Bangalore, Dist. Bangalore Urban",119,9986193892,mediscopebloodbank@gmail.com,,Private,15181,12.999478,77.616872,2,2,572,29,Blood Bank,
M/S Aster Cmi Hospital Blood Centre,"Aster CMI Hospital, No.43/2,Sahakar nagar, Hebbal,  Bengaluru, Bengalore Urban, Dist. Bangalore Urban",119,9739722224,bloodbank.astercmi@asterhospital.com,,Private,280381,13.05456,77.59191,2,2,572,29,Blood Bank,
M/S East Point Hospital Blood Centre,"East Point College of medical Sciences and Hospital,Jnana Prabha Campus,Bidarahalli, Virgonagar,Bengaluru, Bengalore Urban, Dist. Bangalore Urban",119,"8147732899,080-28472999",bloodbank@eastpoint.ac.in,,Private,280358,13.05434,77.71786,2,2,572,29,Blood Bank,
M/S Manipal Hospital Blood Storage Centre Yelahanka Hobli (BSU) ,"a Unit of Manipal Health Enterprises Pvt Ltd., Situated at Sy No.23/3, Next to Brigade Honda Showroom, Venkatala Village, Yelahanka Hobli, Bangalore North Taluk, Yelahanka Hobli, Dist. Bangalore Urban",119,9035002728,blood.bank@manipalhospitals.com,,Private,285243,0.0,0.0,2,2,572,29,BSU,
M/S. Pes University Institute Of Medical Sciences And Research Blood Centre,"Sy.no. 37,38, 2nd floor, General Hospital Building, PES University, EC Campus, Hosur Road, Konappana Agrahara, Electronic City, Bengaluru, Dist. Bangalore Urban",119,7411814902,bloodcenter@pesuimsr.pes.edu,,Private,284828,12.86147,77.66469,2,2,572,29,Blood Bank,
M.S. Ramaiah Medical Teaching Hospital,"NEW BEL ROAD, MSR NAGAR, MATHIKERE,BENGALURU, Bangalore, Dist. Bangalore Urban",119,8062153139,bloodbank1@msrmh.com,,Private,15013,13.030487,77.566648,2,2,572,29,Blood Bank,
Narayana Hrudayalaya,"NARAYANA HRUDAYALAYA BLOOD CENTRE, Narayana Hrudayalaya Ltd.Hospital, 24P, Hattibele, Hobli, Bommasandra Industrial Area, Anekal T, Bangalore, Dist. Bangalore Urban",119,9972034266,girish.cj.dr@narayanahealth.org,,Private,15136,12.80927,77.695173,2,2,572,29,Blood Bank,
Navarang Blood Centre,"No.108, 3rd floor, Hongal Complex,1st main road,near navarang circle,Rajajinagar 1st block,Bangalore, Bangalore, Dist. Bangalore Urban",119,"9844111233,8023521233",navarangbloodbank@gmail.com,,Charitable/Vol,15073,12.99846,77.55278,2,2,572,29,Blood Bank,
Nethaji Voluntary Blood Centre,"655/A, 1ST AND 2ND FLOOR, S.V COMPLEX, OLD MADRAS ROAD, NEAR CANARA BANK, K.R PURAM,, KR Puram, Dist. Bangalore Urban",119,9886763931,nethajibloodbank@gmail.com,,Private,283657,13.017,77.696,2,2,572,29,Blood Bank,
Nimahns Blood Centre Bengaluru,"1st Cross, 1st Block, Someshwara Nagar, Bengaluru, Dist. Bangalore Urban",119,0,,,Govt.,281005,12.9402,77.59342,2,2,572,29,Blood Bank,
Ocean Blood Centre,"No. 133-134, K.P. Broadway Road, Shivajinagar, Bangalore, Dist. Bangalore Urban",119,"9845854991,8025552199",oceansuh36@gmail.com,,Private,15120,12.9716,77.59456,2,2,572,29,Blood Bank,
People Tree Hospital Blood Storage Center (Bsu),"TMI Healthcare Pvt. Ltd.2, Tumkur Road, Goraguntepalya, (Opp Taj Vivanta) Yeshwanthpur, Bangalore, Dist. Bangalore Urban",119,7026616611,drsuraksha@peopletreehospitals.com,,Private,283221,13.0,77.583333,0,2,572,29,BSU,
Rajarajeswari Medical College And Hospital,"202, Kambipura, Mysore Road, Bangalore, Bangalore, Dist. Bangalore Urban",119,9845128072,bloodbank@rrmch.org,,Charitable/Vol,15102,12.8952343,77.4593741,2,2,572,29,Blood Bank,
Rashtrotthana Blood Centre,"7, Gavipuram Guttahalli, Kempegowda Nagar, Bengaluru 5600 04, Bangalore, Dist. Bangalore Urban",119,"9945299369, 9606727215, 9742538382",bloodcentre@rashtrotthana.org,,Private,15037,12.954814,77.565362,2,2,572,29,Blood Bank,
Red Life Blood Centre,"4th Floor, Hesaragatta Road Above Nikhil Netrlaya, Near Bagalagunte Triveni School Mallasandra,T.Dasarhalli, Banglore, Dist. Bangalore Urban",119,9663186456,redlifebloodcentre@gmail.com,,Charitable/Vol,285130,13.0540467,77.5052813,2,2,572,29,Blood Bank,
Rotary Bangalore Ttk Blood Centre  Bangalore Medical Service Trust,"New Thippasandra Main Road, HAL III Stage, Bangalore, Dist. Bangalore Urban",119,9900153000,admin@bmstindia.org,,Private,15004,12.99807,77.580434,2,2,572,29,Blood Bank,
Rotary Blood Centre,"no 166, 3rd floor,5th main, Chamarajpet Bangalore , Chamarajpet, Dist. Bangalore Urban",119,9535133127,rotarybloodcentreaasare@gmail.com,,Charitable/Vol,284867,12.9421142,77.5509721,2,2,572,29,Blood Bank,
Rotary K.R. Hospital Blood Centre,"No. 75, Hanumanthanagar, 50 Ft. Road, Bangalore, Dist. Bangalore Urban",119,"080-28437393, 9845574600",bngu.rotarykrhospital.bb@gmail.com,,Private,15125,12.31402,76.65071,2,2,572,29,Blood Bank,
Rotary Udyog Red Cross Blood Centre,"KLE Hospital 19, 2nd floor, 2nd main, Ravi Kirloskar Road, 1st Phase, Peenya Industrial Area, Bengaluru, Dist. Bangalore Urban",119,9900148578,rurcbc25@gmail.com,,Charitable/Vol,285151,13.0395568,77.5248575,2,2,572,29,Blood Bank,
"Sagar Blood Bank, Sagar Hospital'S, (Unit Of Sagr Health Care And Diagnostic Services Pvt. Ltd.)","Sy. No.53, Shavige Malleshwara Hills, Kumar Swmay Layout, , Bangalore, Dist. Bangalore Urban",119,"9591991888,8042999177",bloodbank.bsk@sagarhospitals.in,,Private,15144,12.907709,77.565114,2,2,572,29,Blood Bank,
Sagar Hospital,"44/54, 30th Cross, Tilak Nagar, Jayangar Extension, Bangalore, Dist. Bangalore Urban",119,9591991883,BLOODBANK.JNR@SAGARHOSPITALS.IN,,Private,15152,12.92813,77.59956,2,2,572,29,Blood Bank,
Sakra World Hospital (A Unit Of Takshasila Hospitals Operating Private Limited),"S.No. 52/2 & 52/3, Devarabeesanahalli, Varthur Hobli, Bellan, Bangalore, Dist. Bangalore Urban",119,7406800342,rani.premkumar@sakraworldhospital.com,,Private,15174,12.932125,77.685263,2,2,572,29,Blood Bank,
"Sanjay Gandhi Institute Of Trauma And Orthopedics Blood Centre, Bangalore","Sanjay Gandhi Institute of Trauma and Orthopedics, Byrasandra, Jayanagar East, Near NIMHANS, Bangalore, Dist. Bangalore Urban",119,8026944320,bbsito97@gmail.com,,Govt.,15008,12.93577,77.59386,2,2,572,29,Blood Bank,
Sanjeevini Trust Jayanagar Voluntary Blood Centre,"Vajras,Complex,1st Floor,1445 and 1482,28th Main,South End A and BCross,9th Block Jayanagard, Bengaluru, Bangalore, Dist. Bangalore Urban",119,9342171911,jayanagarbloodbank24hrs@gmail.com,,Charitable/Vol,15105,12.9716,77.59456,2,2,572,29,Blood Bank,
Sankalp Blood Centre,"No,27,28, Ground Floor, 7th Cross, Road,Vasanthnagar, Bengaluru, Bangalore, Dist. Bangalore Urban",119,9845672800,revegowda@sankalpindia.net,,Charitable/Vol,285105,12.97177,77.59592,2,2,572,29,Blood Bank,
Sapthagiri Blood Bank,"No.15, Chikkasandra, Hesaraghatta Main Road, Bangalore, No.15, Hesarghatta Road,Navy Layout, Chikkasandra, Chikkabanavara, Karnataka, Bangalore, Dist. Bangalore Urban",119,9945527451,sapthagiribloodbank@gmail.com,,Private,15149,13.070573,77.50228,2,2,572,29,Blood Bank,
Shrimaan Harnamdas Kapoor Blood Centre Bangalore,"Indira Gandhi Institute of Child Health, South Hospital complex, Dharmaram College Post, Byrasandra bangalore, Bangalore, Dist. Bangalore Urban",119,9448032867,igibloodbank@gmail.com,,Govt.,15098,12.98105,77.57337,2,2,572,29,Blood Bank,
Sir C.V.Raman General Hospital Blood Bank,"SIR C.V.RAMAN GENERAL HOSPITAL, 8O FEET ROAD, INDIRANAGAR, BANGALORE, MICHEAL PALYA, BANGALORE, Dist. Bangalore Urban",119,9886012493,Bb319.ghibengaluru@gmail.com,,Govt.,283513,12.97,77.6536,2,2,572,29,Blood Bank,
S.K. Voluntary Blood Centre,"14/1, 1st Floor, Mesa Complex, Old Toll Gate Bus Stop, Magadi Main Road, , Bangalore, Dist. Bangalore Urban",119,"9341273805,8023103524",bngu.skvoluntarybb@gmail.com,,Private,15091,12.974445,77.549288,2,2,572,29,Blood Bank,
Sparsh Hospital Blood Centre,"ground Floor No. 8 ideal homes,HBCS Layout,Rajarajeshwari Nagar, Dist. Bangalore Urban",119,9513466057,bloodbank.msr@sparshhospital.com,,Private,283195,22.351115,78.667743,2,2,572,29,Blood Bank,
Sparsh Super Speciality Hospital Blood Centre,"Sparsh super speciality Hospital, 4/1 tumkur road, yeswwanthpur, Banglore, Dist. Bangalore Urban",119,9449620831,enquiry@sparshhospital.com,,Private,280625,13.02771,77.54293,2,2,572,29,Blood Bank,
"Sri Jayadeva Institute Of Cardiovascular Sciences And Research, Bengaluru","Sri Jayadeva Institute of cardiovascular Sciences &research, Gurappanapalya Post Banneraghatta Road Bengaluru, opposite AIRTEL, Bangalore, Dist. Bangalore Urban",119,8022977220,jaydevabb@gmail.com,,Govt.,15079,12.91807,77.59926,2,2,572,29,Blood Bank,
Sri Manyatha Blood Centre,"4TH F loor, Palm Arcade, No 153C, 1st Stage,, 4h Block, HBR Layout, Bangalore, Bangalore, Dist. Bangalore Urban",119,9880612994,Srimanyathavbc@gmail.com,,Private,283438,13.0422,77.6136,2,2,572,29,Blood Bank,
Sri Sathya Sai Institute Of Higher Medical Sciences,"SSSIHMS, EPIP Area, Whitefield, Bengaluru, Bangalore, Dist. Bangalore Urban",119,8028004710,laboratoryblr@sssihms.org.in,,Private,15068,12.981135,77.729224,2,2,572,29,Blood Bank,
Sri. Shankara Cancer Hospital And Research Centre,"Shankara Math Premises,1 st cross Shankarapuram, Basavanagudi , Bangalore, Dist. Bangalore Urban",119,8660896833,nandiniinamdar@yahoo.co.in,,Charitable/Vol,15178,12.95407,77.571128,2,2,572,29,Blood Bank,
Sri Vinayaka Charitable Trust Jeeva Vlountary Blood Centre,"No. 83 and 84, Sharoff Basappa Commercial Complex, 2nd Main,, Bangalore, Dist. Bangalore Urban",119,"9845801539,8025990583",jvbb02@gmail.com,,Private,15109,12.961633,77.571067,2,2,572,29,Blood Bank,
St. Martha'S Hospital Blood Centre,"No. 5 Nrupatunga Road, Opposite to RBI Bengaluru, Bangalore, Dist. Bangalore Urban",119,"9686452704,8022275081",lab@stmarthas.in,,Private,15014,12.97132,77.58636,2,2,572,29,Blood Bank,
